month,day,Hour,Load (MW),Price ($/MWh)
1,1,1,531.14,25.56
1,1,2,508.084,25.54
1,1,3,490.019,27.41
1,1,4,483.029,25.07
1,1,5,485.721,29.2
1,1,6,495.406,28.39
1,1,7,515.847,24.89
1,1,8,548.813,22.6
1,1,9,582.752,23.38
1,1,10,610.893,21.89
1,1,11,634.443,30.48
1,1,12,646.632,34
1,1,13,647.827,32.49
1,1,14,638.586,32.77
1,1,15,640.71,31.96
1,1,16,649.956,30.9
1,1,17,673.709,38.47
1,1,18,692.176,41.36
1,1,19,676.564,36.86
1,1,20,651.058,33.18
1,1,21,619.441,31.18
1,1,22,594.121,30.46
1,1,23,567.587,27.48
1,1,24,528.036,24.51
1,2,1,500.719,18.12
1,2,2,483.587,18.78
1,2,3,474.897,-3.63
1,2,4,472.402,18.96
1,2,5,473.511,19.85
1,2,6,488.398,22.72
1,2,7,514.409,25.85
1,2,8,548.712,27.95
1,2,9,596.064,29.96
1,2,10,638.341,31.23
1,2,11,662.054,41.3
1,2,12,676.31,46.49
1,2,13,684.523,64.23
1,2,14,680.235,60.68
1,2,15,685.357,63.71
1,2,16,704.639,55.76
1,2,17,748.35,85.12
1,2,18,771.024,135.61
1,2,19,766.931,114.94
1,2,20,756.219,64.45
1,2,21,725.818,44.81
1,2,22,696.343,41.17
1,2,23,667.455,39.94
1,2,24,630.063,34.95
1,3,1,609.813,33.55
1,3,2,600.276,15.25
1,3,3,600.029,5.28
1,3,4,603.542,30.45
1,3,5,619.081,20.78
1,3,6,661.358,14.33
1,3,7,728.508,29.66
1,3,8,775.517,36.98
1,3,9,788.903,41.75
1,3,10,798.634,52.53
1,3,11,798.466,101.01
1,3,12,803.146,127.98
1,3,13,793.195,170.83
1,3,14,782.038,177.68
1,3,15,794.656,162.44
1,3,16,793.964,140.66
1,3,17,788.228,157.57
1,3,18,811.184,189.04
1,3,19,806.333,172.62
1,3,20,793.725,153.19
1,3,21,768.461,128.03
1,3,22,746.548,98.79
1,3,23,717.817,128.59
1,3,24,680.123,94.48
1,4,1,660.112,120.45
1,4,2,650.835,110.56
1,4,3,646.306,108.45
1,4,4,649.274,102.06
1,4,5,664.204,133.98
1,4,6,705.129,134.58
