Year,O&M Cost ($) ,Annuity Payment ($),TotalCost ($),Total Rev ($),Net ($)
1,"3,952,034.07","22,949,520.68","26,901,554.76","41,841,309.16","14,939,754.40"
2,"4,050,834.93","22,949,520.68","27,000,355.61","43,096,548.43","16,096,192.82"
3,"4,152,105.80","22,949,520.68","27,101,626.48","44,389,444.88","17,287,818.40"
4,"4,255,908.44","22,949,520.68","27,205,429.13","45,721,128.23","18,515,699.10"
5,"4,362,306.15","22,949,520.68","27,311,826.84","47,092,762.08","19,780,935.24"
6,"4,471,363.81","22,949,520.68","27,420,884.49","48,505,544.94","21,084,660.45"
7,"4,583,147.90","22,949,520.68","27,532,668.59","49,960,711.29","22,428,042.70"
8,"4,697,726.60","22,949,520.68","27,647,247.29","51,459,532.63","23,812,285.34"
9,"4,815,169.77","22,949,520.68","27,764,690.45","53,003,318.60","25,238,628.15"
10,"4,935,549.01","22,949,520.68","27,885,069.70","54,593,418.16","26,708,348.47"
11,"5,058,937.74","22,949,520.68","28,008,458.42","56,231,220.71","28,222,762.29"
12,"5,185,411.18","22,949,520.68","28,134,931.86","57,918,157.33","29,783,225.46"
13,"5,315,046.46","22,949,520.68","28,264,567.14","59,655,702.05","31,391,134.90"
14,"5,447,922.62","22,949,520.68","28,397,443.30","61,445,373.11","33,047,929.80"
15,"5,584,120.69","22,949,520.68","28,533,641.37","63,288,734.30","34,755,092.93"
16,"5,723,723.70","22,949,520.68","28,673,244.39","65,187,396.33","36,514,151.94"
17,"5,866,816.80","22,949,520.68","28,816,337.48","67,143,018.22","38,326,680.74"
18,"6,013,487.22","22,949,520.68","28,963,007.90","69,157,308.77","40,194,300.87"
19,"6,163,824.40","22,949,520.68","29,113,345.08","71,232,028.03","42,118,682.95"
20,"6,317,920.01","22,949,520.68","29,267,440.69","73,368,988.87","44,101,548.18"
