time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220101:0030,0.0,0.0,0.0,0.0,2.32,2.0,0.0
20220101:0130,0.0,0.0,0.0,0.0,2.24,1.86,0.0
20220101:0230,0.0,0.0,0.0,0.0,2.16,1.72,0.0
20220101:0330,0.0,0.0,0.0,0.0,1.66,1.72,0.0
20220101:0430,0.0,0.0,0.0,0.0,1.24,1.66,0.0
20220101:0530,0.0,0.0,0.0,0.0,1.14,1.59,0.0
20220101:0630,0.0,0.0,0.0,0.0,0.81,1.59,0.0
20220101:0730,0.0,0.0,0.0,0.0,0.27,1.86,0.0
20220101:0830,0.0,0.0,0.0,0.0,0.74,1.79,0.0
20220101:0930,0.0,0.0,0.0,0.0,0.68,2.0,0.0
20220101:1030,0.0,0.0,0.0,0.0,1.42,2.0,0.0
20220101:1130,0.0,0.0,0.0,0.0,1.94,2.0,0.0
20220101:1230,0.0,0.0,0.0,-0.73,2.27,2.28,0.0
20220101:1330,14.5,33.75,1.15,7.71,2.63,2.41,0.0
20220101:1430,33.26,50.22,1.88,14.68,3.39,2.55,0.0
20220101:1530,68.15,67.36,2.77,19.67,4.3,2.41,0.0
20220101:1630,5.68,50.65,1.75,22.23,5.16,1.93,0.0
20220101:1730,0.0,33.25,1.11,22.05,4.5,1.79,0.0
20220101:1830,0.13,46.27,1.55,19.17,4.25,1.86,0.0
20220101:1930,0.0,17.03,0.57,13.9,4.34,2.07,0.0
20220101:2030,0.47,7.77,0.26,6.72,4.28,1.79,0.0
20220101:2130,0.0,0.0,0.0,-1.88,3.77,1.59,0.0
20220101:2230,0.0,0.0,0.0,0.0,3.49,1.24,0.0
20220101:2330,0.0,0.0,0.0,0.0,3.16,1.1,0.0
20220102:0030,0.0,0.0,0.0,0.0,2.78,0.83,0.0
20220102:0130,0.0,0.0,0.0,0.0,2.17,1.38,0.0
20220102:0230,0.0,0.0,0.0,0.0,1.95,2.14,0.0
20220102:0330,0.0,0.0,0.0,0.0,1.66,2.34,0.0
20220102:0430,0.0,0.0,0.0,0.0,1.06,2.28,0.0
20220102:0530,0.0,0.0,0.0,0.0,0.53,2.41,0.0
20220102:0630,0.0,0.0,0.0,0.0,0.04,2.34,0.0
20220102:0730,0.0,0.0,0.0,0.0,0.0,2.14,0.0
20220102:0830,0.0,0.0,0.0,0.0,-0.56,2.62,0.0
20220102:0930,0.0,0.0,0.0,0.0,-1.43,2.9,0.0
20220102:1030,0.0,0.0,0.0,0.0,-2.37,2.76,0.0
20220102:1130,0.0,0.0,0.0,0.0,-3.29,2.76,0.0
20220102:1230,0.0,0.0,0.0,-0.73,-4.15,3.03,0.0
20220102:1330,0.42,7.63,0.26,7.73,-5.16,3.24,0.0
20220102:1430,0.0,24.05,0.81,14.71,-5.97,3.24,0.0
20220102:1530,0.0,47.16,1.58,19.73,-6.51,3.1,0.0
20220102:1630,72.44,90.06,3.57,22.3,-6.68,2.83,0.0
20220102:1730,5.08,91.37,3.1,22.15,-6.59,2.62,0.0
20220102:1830,42.77,112.57,3.97,19.28,-6.49,2.62,0.0
20220102:1930,74.1,97.29,3.43,14.02,-6.32,3.03,0.0
20220102:2030,2.31,18.48,0.63,6.85,-6.52,3.1,0.0
20220102:2130,0.0,0.0,0.0,-1.75,-6.92,2.97,0.0
20220102:2230,0.0,0.0,0.0,0.0,-7.13,2.69,0.0
20220102:2330,0.0,0.0,0.0,0.0,-7.26,2.55,0.0
