Year,Month,Day,Hour,Minute,wind direction at 60m (deg),wind speed at 60m (m/s),wind direction at 80m (deg),wind speed at 80m (m/s),wind direction at 100m (deg),wind speed at 100m (m/s)
2020,1,1,0,30,252.25,10.25,252.76000000000002,10.98,253.34,11.58
2020,1,1,1,30,258.25,10.03,258.32,10.620000000000001,258.32,11.08
2020,1,1,2,30,245.36,8.83,246.03,9.290000000000001,246.82,9.72
2020,1,1,3,30,247.16,9.950000000000001,247.51000000000002,10.57,247.88,11.15
2020,1,1,4,30,252.24,10,252.73000000000002,10.74,253.34,11.42
2020,1,1,5,30,251.81,9.51,252.02,10.46,252.28,11.17
2020,1,1,6,30,240.70000000000002,8.69,242.20000000000002,9.67,243.5,10.49
2020,1,1,7,30,241.8,8.540000000000001,242.56,9.23,243.35,9.96
2020,1,1,8,30,257.15,9.120000000000001,257.39,9.91,257.63,10.57
2020,1,1,9,30,263.52,9.81,263.69,10.6,263.89,11.28
2020,1,1,10,30,266.37,9.47,266.32,10.1,266.3,10.63
2020,1,1,11,30,273.61,10.120000000000001,273.55,10.88,273.53000000000003,11.55
2020,1,1,12,30,275.14,12.14,274.96,12.84,274.79,13.42
2020,1,1,13,30,276.58,14.1,276.48,14.93,276.41,15.56
2020,1,1,14,30,279.64,15.08,279.57,15.93,279.52,16.6
2020,1,1,15,30,280.22,14.97,280.18,15.66,280.15000000000003,16.2
2020,1,1,16,30,283.66,16.59,283.78000000000003,17.32,283.93,17.92
2020,1,1,17,30,284.69,17.27,284.91,18.01,285.16,18.67
2020,1,1,18,30,289.01,18.23,289.07,19.06,289.14,19.79
2020,1,1,19,30,292.68,17.82,292.66,18.64,292.66,19.400000000000002
2020,1,1,20,30,294.97,17.62,294.94,18.54,294.92,19.330000000000002
2020,1,1,21,30,292.33,17.01,292.45,17.93,292.56,18.7
2020,1,1,22,30,292.17,15.98,292.29,16.82,292.40000000000003,17.54
2020,1,1,23,30,292.32,15.6,292.35,16.4,292.37,17.080000000000002
2020,1,2,0,30,294.83,13.99,294.73,14.74,294.61,15.39
2020,1,2,1,30,300.57,11.11,300.21,11.76,299.8,12.35
2020,1,2,2,30,300.75,9.59,300.14,10.21,299.44,10.8
2020,1,2,3,30,300.7,7.58,300.12,8.01,299.28000000000003,8.49
2020,1,2,4,30,304.76,9.370000000000001,304.07,9.99,303.37,10.620000000000001
2020,1,2,5,30,293.61,8.94,293.58,9.31,293.63,9.700000000000001
2020,1,2,6,30,292.31,10.27,292.62,10.790000000000001,292.86,11.22
2020,1,2,7,30,282.53000000000003,8.44,282.43,9.08,282.29,9.620000000000001
2020,1,2,8,30,271.68,7.5,271.73,8.05,271.71,8.52
2020,1,2,9,30,261.52,6.390000000000001,261.58,6.7700000000000005,261.68,7.08
2020,1,2,10,30,270.04,8.89,269.88,9.31,269.7,9.63
2020,1,2,11,30,258.07,6.65,258.07,6.95,258.08,7.18
