"HourEnding","Type","ID","LMP","Energy","Loss","Congestion","StrikePrice"
10/17/2025 01:00,SP,4000,undefined,undefined,undefined,undefined,41.18
10/17/2025 02:00,SP,4000,undefined,undefined,undefined,undefined,36.23
10/17/2025 03:00,SP,4000,undefined,undefined,undefined,undefined,35.63
10/17/2025 04:00,SP,4000,undefined,undefined,undefined,undefined,35.07
10/17/2025 05:00,SP,4000,undefined,undefined,undefined,undefined,36.29
10/17/2025 06:00,SP,4000,undefined,undefined,undefined,undefined,39.25
10/17/2025 07:00,SP,4000,undefined,undefined,undefined,undefined,47.44
10/17/2025 08:00,SP,4000,undefined,undefined,undefined,undefined,50.06
10/17/2025 09:00,SP,4000,undefined,undefined,undefined,undefined,39.93
10/17/2025 10:00,SP,4000,undefined,undefined,undefined,undefined,36.51
10/17/2025 11:00,SP,4000,undefined,undefined,undefined,undefined,30.38
10/17/2025 12:00,SP,4000,undefined,undefined,undefined,undefined,28.63
10/17/2025 13:00,SP,4000,undefined,undefined,undefined,undefined,28.55
10/17/2025 14:00,SP,4000,undefined,undefined,undefined,undefined,28.43
10/17/2025 15:00,SP,4000,undefined,undefined,undefined,undefined,29.5
10/17/2025 16:00,SP,4000,undefined,undefined,undefined,undefined,32.1
10/17/2025 17:00,SP,4000,undefined,undefined,undefined,undefined,39.45
10/17/2025 18:00,SP,4000,undefined,undefined,undefined,undefined,48.54
10/17/2025 19:00,SP,4000,undefined,undefined,undefined,undefined,51.53
10/17/2025 20:00,SP,4000,undefined,undefined,undefined,undefined,48.46
10/17/2025 21:00,SP,4000,undefined,undefined,undefined,undefined,47.06
10/17/2025 22:00,SP,4000,undefined,undefined,undefined,undefined,43.92
10/17/2025 23:00,SP,4000,undefined,undefined,undefined,undefined,39.56
10/18/2025 00:00,SP,4000,undefined,undefined,undefined,undefined,36.94
10/17/2025 01:00,RT,4000,43.99,43.62,0.33,0.04,undefined
10/17/2025 02:00,RT,4000,34.5,34.25,0.24,0.01,undefined
10/17/2025 03:00,RT,4000,35.55,35.31,0.23,0.01,undefined
10/17/2025 04:00,RT,4000,35.64,35.41,0.22,0.01,undefined
10/17/2025 05:00,RT,4000,33.58,33.35,0.22,0.01,undefined
10/17/2025 06:00,RT,4000,38.7,38.43,0.25,0.02,undefined
10/17/2025 07:00,RT,4000,61.35,60.93,0.34,0.08,undefined
10/17/2025 08:00,RT,4000,68.34,67.94,0.27,0.13,undefined
10/17/2025 09:00,RT,4000,52.52,52.23,0.23,0.06,undefined
10/17/2025 10:00,RT,4000,31.83,31.72,0.11,0,undefined
10/17/2025 11:00,RT,4000,29.09,29.08,0.01,0,undefined
10/17/2025 12:00,RT,4000,28.51,28.57,-0.06,0,undefined
10/17/2025 13:00,RT,4000,26.63,26.7,-0.07,0,undefined
10/17/2025 14:00,RT,4000,26.58,26.64,-0.06,0,undefined
10/17/2025 15:00,RT,4000,26.42,26.44,-0.02,0,undefined
10/17/2025 16:00,RT,4000,31.09,31.04,0.05,0,undefined
10/17/2025 17:00,RT,4000,41.42,41.27,0.13,0.02,undefined
10/17/2025 18:00,RT,4000,64.08,63.9,0.1,0.08,undefined
10/17/2025 19:00,RT,4000,57.35,57.24,0.05,0.06,undefined
10/17/2025 20:00,RT,4000,55.58,55.43,0.07,0.08,undefined
10/17/2025 21:00,RT,4000,51.7,51.56,0.09,0.05,undefined
10/17/2025 22:00,RT,4000,44.78,44.71,0.04,0.03,undefined
10/17/2025 23:00,RT,4000,44.85,44.79,0.03,0.03,undefined
10/18/2025 00:00,RT,4000,39.99,39.96,0.01,0.02,undefined
10/17/2025 01:00,DA,4000,33.96,33.7,0.26,0,undefined
10/17/2025 02:00,DA,4000,33.37,33.12,0.25,0,undefined
10/17/2025 03:00,DA,4000,28.94,28.73,0.21,0,undefined
10/17/2025 04:00,DA,4000,30.99,30.77,0.22,0,undefined
10/17/2025 05:00,DA,4000,35.93,35.68,0.25,0,undefined
10/17/2025 06:00,DA,4000,34.94,34.64,0.3,0,undefined
10/17/2025 07:00,DA,4000,49.1,48.69,0.41,0,undefined
10/17/2025 08:00,DA,4000,52.37,52.07,0.3,0,undefined
10/17/2025 09:00,DA,4000,44.79,44.44,0.3,0.05,undefined
10/17/2025 10:00,DA,4000,30.03,29.91,0.1,0.02,undefined
10/17/2025 11:00,DA,4000,27.4,27.42,-0.04,0.02,undefined
10/17/2025 12:00,DA,4000,27.76,27.76,-0.03,0.03,undefined
10/17/2025 13:00,DA,4000,23.76,23.79,-0.05,0.02,undefined
10/17/2025 14:00,DA,4000,24.78,24.83,-0.06,0.01,undefined
10/17/2025 15:00,DA,4000,25.87,25.91,-0.05,0.01,undefined
10/17/2025 16:00,DA,4000,28.64,28.69,-0.05,0,undefined
10/17/2025 17:00,DA,4000,35.75,35.5,0.25,0,undefined
10/17/2025 18:00,DA,4000,54.9,54.7,0.2,0,undefined
10/17/2025 19:00,DA,4000,57.47,57.26,0.21,0,undefined
10/17/2025 20:00,DA,4000,50.31,50.08,0.23,0,undefined
10/17/2025 21:00,DA,4000,44.26,44.09,0.17,0,undefined
10/17/2025 22:00,DA,4000,40.65,40.49,0.16,0,undefined
10/17/2025 23:00,DA,4000,37.83,37.71,0.12,0,undefined
10/18/2025 00:00,DA,4000,29.71,29.62,0.09,0,undefined
